Vintage,Vintage Open,14,2021,A,Vintage,48119,-26,-8
JB,Jonesboro,15,2021,NT,JB,48567,-35,-23
MAO,Mid-American Open,16,2021,A,MAO,48121,-27,+2
BGO,Bowling Green Open,16,2021,A,BGO,47882,-33,-5,90
DDO,Dynamic Discs Open,17,2021,NT,DDO,47516,-42,-15
COM,City of Mobile,17,2021,A/B,COM,48462,-31,+12,60
GHP,Goat Hill Park,18,2021,A,GHP,48283,-40,-11,60
Dust,Dalhart Dustbowl,18,2021,A/B,Dust,48503,-18,+11,34
LPO,Lower Peninsula Open,18,2021,A,LPO,48178,-20,+4,70
Rumble,The Rumble,18,2021,A,Rumble,48042,-30,-22,73
Three,The 303 Open,18,2021,A,Three,47833,-21,+10,106
HUK,Huk Central,18,2021,A,HUK,47842,-36,+8,48
PH,Prodigy Helsinki,18,2021,A,PH,51582,-19,+5,83
Kitsap,Kitsap Classic,19,2021,A/B,Kitsap,48175,-47,+23,68
OTB,OTB Open,19,2021,NT,OTB,48172,-32,-19
Norm,Norman Pro-Am,19,2021,A/B,Norm,48050,-21,+13,33
Mich,Michigan Hall of Fame Classic,20,2021,A,Mich,48124,-5,-4,82
USW,US Womens,21,2021,Major,USW,47519,999,-4,62
Tam,Prodigy - Tampere,21,2021,A,Tam,51583,-15,+11,96
SCM,Santa Cruz Masters,21,2021,NT,SCM,47514,-33,+1
FSO,Fort Steilacoom Open,21,2021,A/B,FSO,49355,-21,+20,64
Port,Portland Open,22,2021,NT,Port,48686,-21,-21
Tenn,Tennessee States,22,2021,A,Tenn,48011,-42,-16,96
NT3,Nationella Touren 3 Mora,22,2021,A,NT3,50137,-24,+20,52
Turk,Prodigy Turku,23,2021,A,Turk,52349,-23,-5,89
Utah,Utah Open,23,2021,B/A,Utah,48242,-23,-12,57
HPC,High Plains Challenge,23,2021,A,HPC,48051,-21,+2,53
GCC,Gulf Coast Charity Open,22,2021,B/A,GCC,47848,-27,999,30
Mega,Magic City Mega Bowl,24,2021,A,Mega,47913,-12,+24,79
Titan,Titan Open,24,2021,A,Titan,47850,-16,24,67
ProWorlds,Pro Worlds,25,2021,Major,ProWorlds,47784,-39,-10,1000
Tyyni,NBDG Tyyni,26,2021,Eurotour2021,Tyyni,47445,-22,9,78
Treebash,Treebash Open,26,2021,A,Treebash,48152,-33,-12,51
Canyons,Clash at the Canyons,26,2021,A,Canyons,48112,-28,-1,141
Majestic,The Majestic,26,2021,A,Majestic,48142,-22,8,133
DMC,Des Moines Challenge,27,2021,NT,DMC,52009,-28,-5,1000
VacOpen,Vacationland Open,27,2021,A,VacOpen,51487,-18,12,39
CNSAF,Candiscgolf Nationals Satellite Atlantic,27,2021,A,CNSAF,51216,-5,nan,16
Silver,Silver Cup,27,2021,A,Silver,49557,-35,12,107
River,River City Open,27,2021,A,River,48127,-35,4,105
Keisari,Keisari Open,28,2021,A,Keisari,52082,-25,-1,75
Heat,Heatland Open,28,2021,A,Heat,49807,-30,nan,43
Mad,Mad City Open,28,2021,A,Mad,49505,-16,19,89
Sevi,Seviren Lang Memorial,28,2021,A,Sevi,49440,-23,20,69
CCR,CCR Open,28,2021,A,CCR,48543,-30,-18,113
MSM,Mid-Summer Meltdown,28,2021,A,MSM,47851,-23,22,33
War,Warwick Championships,28,2021,A,War,48470,-27,30,1000
GLO,Great Lakes Open,29,2021,NT,GLO,48338,-28,-20,1000
FDO,Forsyth Decatur Open,29,2021,A,FDO,48043,-34,2,37
Kuopio,Prodigy - Kuopio,30,2020,A,Kuopio,53211,-27,-7,107
Preserve,Preserve Championship,30,2021,NT,Preserve,48687,-35,-19,1000
NOC,Northern Ontario Championship,30,2021,A,NOC,50044,-33,16,30
